,year,Race_url,stage,stage_url,stage_type,stage_winner_time_str,profile_icon,stage_winner,stage_winner_url,stage_winner_time,stage_distance,gc_stage_time_str,stage_vertical_meters,gc_leader,gc_leader_url,gc_stage_time,power,gc_weight,gc_height,stage_grade,gc_speed
0,1985,race/tour-de-france/1985,Plumelec,https://www.procyclingstats.com/race/tour-de-france/1985/prologue,RR,0:08:47,p1,HINAULT Bernard,rider/bernard-hinault,527,6.8,0:08:47,128.0,HINAULT Bernard,rider/bernard-hinault,527,473.79538406715056,62.0,1.74,0.0188235294117647,12.903225806451612
1,1985,race/tour-de-france/1985,Lanester,https://www.procyclingstats.com/race/tour-de-france/1985/stage-1,RR,6:32:52,p1,MATTHIJS Rudy,rider/rudy-matthijs,23572,256.0,6:32:52,3201.0,VANDERAERDEN Eric,rider/eric-vanderaerden,23572,287.6212150469148,74.0,1.82,0.01250390625,10.86034277956898
2,1985,race/tour-de-france/1985,Vitré,https://www.procyclingstats.com/race/tour-de-france/1985/stage-2,RR,6:29:21,p1,MATTHIJS Rudy,rider/rudy-matthijs,23361,242.0,6:29:21,2752.0,VANDERAERDEN Eric,rider/eric-vanderaerden,23361,249.59584166394424,74.0,1.82,0.0113719008264462,10.35914558452121
3,1985,race/tour-de-france/1985,Pont-Audemer,https://www.procyclingstats.com/race/tour-de-france/1985/stage-4,RR,6:31:46,p1,SOLLEVELD Gerrit,rider/gerrit-solleveld,23506,239.5,6:31:46,3047.0,ANDERSEN Kim,rider/kim-andersen,23506,238.7572555578344,65.0,1.7,0.0127223382045929,10.188887943503786
4,1985,race/tour-de-france/1985,Roubaix,https://www.procyclingstats.com/race/tour-de-france/1985/stage-5,RR,6:27:25,p1,MANDERS Henri,rider/henri-manders,23245,224.0,6:27:36,1898.0,ANDERSEN Kim,rider/kim-andersen,23256,191.5852658272888,65.0,1.7,0.0084732142857142,9.631922944616443
5,1985,race/tour-de-france/1985,Reims,https://www.procyclingstats.com/race/tour-de-france/1985/stage-6,RR,6:29:34,p1,CASTAING Francis,rider/francis-castaing,23374,221.5,6:29:34,2354.0,ANDERSEN Kim,rider/kim-andersen,23374,190.7953327365232,65.0,1.7,0.010627539503386,9.476341233849576
6,1985,race/tour-de-france/1985,Nancy,https://www.procyclingstats.com/race/tour-de-france/1985/stage-7,RR,5:55:07,p2,WIJNANTS Ludwig,rider/ludwig-wijnants,21307,217.0,5:55:16,2341.0,ANDERSEN Kim,rider/kim-andersen,21316,251.0053626147912,65.0,1.7,0.0107880184331797,10.18014636892475
7,1985,race/tour-de-france/1985,Straatsburg,https://www.procyclingstats.com/race/tour-de-france/1985/stage-8,ITT,1:34:55,p2,HINAULT Bernard,rider/bernard-hinault,5695,75.0,1:34:55,1191.0,HINAULT Bernard,rider/bernard-hinault,5695,523.0117592717014,62.0,1.74,0.01588,13.169446883230904
8,1985,race/tour-de-france/1985,Épinal,https://www.procyclingstats.com/race/tour-de-france/1985/stage-9,RR,4:13:40,p3,DUCROT Maarten,rider/maarten-ducrot,15220,173.5,4:15:55,2890.0,HINAULT Bernard,rider/bernard-hinault,15355,359.6275186003019,62.0,1.74,0.0166570605187319,11.299251058287204
9,1985,race/tour-de-france/1985,Pontarlier (Larmont),https://www.procyclingstats.com/race/tour-de-france/1985/stage-10,RR,5:06:27,p5,PEDERSEN Jørgen Vagn,rider/jorgen-vagn-pedersen,18387,204.5,5:08:00,3940.0,HINAULT Bernard,rider/bernard-hinault,18480,141.89707191928278,62.0,1.74,0.0192665036674816,11.066017316017316
