,year,Race_url,stage,stage_url,stage_type,profile_icon,stage_winner,stage_winner_url,stage_winner_time,stage_distance,stage_vertical_meters,gc_leader,gc_leader_url,gc_stage_time
0,0,,,,,,,,,0.0,0.0,,,
1,1985,race/tour-de-france/1985,Plumelec,https://www.procyclingstats.com/race/tour-de-france/1985/prologue,RR,p1,{'rider_name': 'HINAULT Bernard'},{'rider_url': 'rider/bernard-hinault'},{'time': '0:08:47'},6.8,128.0,{'rider_name': 'HINAULT Bernard'},{'rider_url': 'rider/bernard-hinault'},0:08:47
2,1985,race/tour-de-france/1985,Lanester,https://www.procyclingstats.com/race/tour-de-france/1985/stage-1,RR,p1,{'rider_name': 'MATTHIJS Rudy'},{'rider_url': 'rider/rudy-matthijs'},{'time': '6:32:52'},256.0,3201.0,{'rider_name': 'VANDERAERDEN Eric'},{'rider_url': 'rider/eric-vanderaerden'},6:32:52
3,1985,race/tour-de-france/1985,Vitré,https://www.procyclingstats.com/race/tour-de-france/1985/stage-2,RR,p1,{'rider_name': 'MATTHIJS Rudy'},{'rider_url': 'rider/rudy-matthijs'},{'time': '6:29:21'},242.0,2752.0,{'rider_name': 'VANDERAERDEN Eric'},{'rider_url': 'rider/eric-vanderaerden'},6:29:21
4,1985,race/tour-de-france/1985,Pont-Audemer,https://www.procyclingstats.com/race/tour-de-france/1985/stage-4,RR,p1,{'rider_name': 'SOLLEVELD Gerrit'},{'rider_url': 'rider/gerrit-solleveld'},{'time': '6:31:46'},239.5,3047.0,{'rider_name': 'ANDERSEN Kim'},{'rider_url': 'rider/kim-andersen'},6:31:46
5,1985,race/tour-de-france/1985,Roubaix,https://www.procyclingstats.com/race/tour-de-france/1985/stage-5,RR,p1,{'rider_name': 'MANDERS Henri'},{'rider_url': 'rider/henri-manders'},{'time': '6:27:25'},224.0,1898.0,{'rider_name': 'ANDERSEN Kim'},{'rider_url': 'rider/kim-andersen'},6:27:36
6,1985,race/tour-de-france/1985,Reims,https://www.procyclingstats.com/race/tour-de-france/1985/stage-6,RR,p1,{'rider_name': 'CASTAING Francis'},{'rider_url': 'rider/francis-castaing'},{'time': '6:29:34'},221.5,2354.0,{'rider_name': 'ANDERSEN Kim'},{'rider_url': 'rider/kim-andersen'},6:29:34
7,1985,race/tour-de-france/1985,Nancy,https://www.procyclingstats.com/race/tour-de-france/1985/stage-7,RR,p2,{'rider_name': 'WIJNANTS Ludwig'},{'rider_url': 'rider/ludwig-wijnants'},{'time': '5:55:07'},217.0,2341.0,{'rider_name': 'ANDERSEN Kim'},{'rider_url': 'rider/kim-andersen'},5:55:16
8,1985,race/tour-de-france/1985,Straatsburg,https://www.procyclingstats.com/race/tour-de-france/1985/stage-8,ITT,p2,{'rider_name': 'HINAULT Bernard'},{'rider_url': 'rider/bernard-hinault'},{'time': '1:34:55'},75.0,1191.0,{'rider_name': 'HINAULT Bernard'},{'rider_url': 'rider/bernard-hinault'},1:34:55
9,1985,race/tour-de-france/1985,Épinal,https://www.procyclingstats.com/race/tour-de-france/1985/stage-9,RR,p3,{'rider_name': 'DUCROT Maarten'},{'rider_url': 'rider/maarten-ducrot'},{'time': '4:13:40'},173.5,2890.0,{'rider_name': 'HINAULT Bernard'},{'rider_url': 'rider/bernard-hinault'},4:15:55
10,1985,race/tour-de-france/1985,Pontarlier (Larmont),https://www.procyclingstats.com/race/tour-de-france/1985/stage-10,RR,p5,{'rider_name': 'PEDERSEN Jørgen Vagn'},{'rider_url': 'rider/jorgen-vagn-pedersen'},{'time': '5:06:27'},204.5,3940.0,{'rider_name': 'HINAULT Bernard'},{'rider_url': 'rider/bernard-hinault'},5:08:00
11,1985,race/tour-de-france/1985,Morzine-Avoriaz,https://www.procyclingstats.com/race/tour-de-france/1985/stage-11,RR,p5,{'rider_name': 'HERRERA Luis Alberto'},{'rider_url': 'rider/luis-alberto-herrera'},{'time': '5:19:04'},195.0,4823.0,{'rider_name': 'HINAULT Bernard'},{'rider_url': 'rider/bernard-hinault'},5:19:11
