,year,stage,stage_type,profile_icon,gc_leader,gc_stage_time_str,power,stage_grade
0,1985,Plumelec,RR,p1,HINAULT Bernard,0:08:47,558.2400283768867,0.0188235294117647
1,1985,Lanester,RR,p1,VANDERAERDEN Eric,6:32:52,343.0786959692436,0.01250390625
2,1985,Vitré,RR,p1,VANDERAERDEN Eric,6:29:21,297.7061528964386,0.0113719008264462
3,1985,Pont-Audemer,RR,p1,ANDERSEN Kim,6:31:46,285.7981541250865,0.0127223382045929
4,1985,Roubaix,RR,p1,ANDERSEN Kim,6:27:36,221.2047367856856,0.0084732142857142
5,1985,Reims,RR,p1,ANDERSEN Kim,6:29:34,227.34419739979663,0.010627539503386
6,1985,Nancy,RR,p2,ANDERSEN Kim,5:55:16,165.84584435632996,0.0107880184331797
7,1985,Straatsburg,ITT,p2,HINAULT Bernard,1:34:55,348.82741316956435,0.01588
8,1985,Épinal,RR,p3,HINAULT Bernard,4:15:55,234.97172593939467,0.0166570605187319
9,1985,Pontarlier (Larmont),RR,p5,HINAULT Bernard,5:08:00,396.40045233968624,0.0192665036674816
10,1985,Morzine-Avoriaz,RR,p5,HINAULT Bernard,5:19:11,397.51672024486095,0.0247333333333333
11,1985,Lans en Vercors,RR,p5,HINAULT Bernard,8:26:10,374.70026006820456,0.0310929368029739
12,1985,Villard-de-Lans,ITT,p2,HINAULT Bernard,0:42:11,332.4113523266543,0.0234591194968553
13,1985,Saint-Etienne,RR,p4,HINAULT Bernard,4:59:04,306.17701769835395,0.0208547486033519
14,1985,Aurillac,RR,p4,HINAULT Bernard,7:18:36,283.2574275489217,0.0239410526315789
15,1985,Toulouse,RR,p2,HINAULT Bernard,6:35:09,193.25593456286288,0.0175020242914979
16,1985,Luz-Ardiden,RR,p5,HINAULT Bernard,7:01:26,315.4993932088043,0.0281957040572792
17,1985,Col d'Aubisque,RR,p5,HINAULT Bernard,1:40:49,493.4330946920642,0.0459428571428571
18,1985,Pau,RR,p4,HINAULT Bernard,2:24:02,419.1963600088864,0.0357485029940119
19,1985,Bordeaux,RR,p1,HINAULT Bernard,5:42:13,222.95032693868575,0.008185
20,1985,Limoges,RR,p3,HINAULT Bernard,5:54:02,196.3653295169792,0.0156488888888888
21,1985,Auphelle (Lac de Vassivière),ITT,p2,HINAULT Bernard,1:02:56,297.7574123720327,0.0219693654266958
22,1985,Paris,RR,p1,HINAULT Bernard,5:13:56,350.8883973134021,0.0092073732718894
23,1986,Boulogne-Billancourt,RR,p1,MARIE Thierry,0:05:21,675.7443297839628,0.013695652173913
24,1986,Sceaux,RR,p3,STIEDA Alex,1:58:42,254.81903490815705,0.0110117647058823
25,1986,Liévin,RR,p1,MARIE Thierry,5:45:36,264.3628911398,0.0086962616822429
26,1986,Évreux,RR,p1,GAIGNE Dominique,6:57:07,231.74637774748305,0.0093415637860082
27,1986,Villers-sur-Mer,RR,p2,VAN DER VELDE Johan,3:04:05,212.64256943795488,0.009156626506024
28,1986,Cherbourg,RR,p3,VAN DER VELDE Johan,4:47:57,229.1403897577572,0.009285
29,1986,Saint Hilaire du Harcouët,RR,p1,PEDERSEN Jørgen Vagn,4:57:00,360.2406556332411,0.0122338308457711
30,1986,Nantes,RR,p1,PEDERSEN Jørgen Vagn,4:39:55,410.822506737042,0.0097598039215686
31,1986,Nantes,ITT,p1,PEDERSEN Jørgen Vagn,1:20:28,444.6432420838863,0.0075772357723577
32,1986,Futuroscope,RR,p1,PEDERSEN Jørgen Vagn,4:29:58,334.20853011531744,0.0088852459016393
33,1986,Bordeaux,RR,p1,PEDERSEN Jørgen Vagn,6:13:10,341.995127636262,0.0075280464216634
34,1986,Pau,RR,p4,HINAULT Bernard,6:03:19,377.99995178618224,0.0288
35,1986,Superbagnères,RR,p5,HINAULT Bernard,6:11:16,389.3073349893262,0.0364569892473118
36,1986,Blagnac,RR,p1,HINAULT Bernard,3:55:46,291.4133794419473,0.0076038961038961
37,1986,Nîmes,RR,p1,HINAULT Bernard,5:52:39,285.85346109532185,0.0089667405764966
38,1986,Gap,RR,p2,HINAULT Bernard,7:48:10,124.20085579782312,0.0162150101419878
39,1986,Col du Granon,RR,p5,LEMOND Greg,5:59:18,430.42778164595416,0.0350315789473684
40,1986,l'Alpe d'Huez,RR,p5,LEMOND Greg,5:03:03,511.161564946936,0.0425107692307692
41,1986,Saint-Etienne,RR,p4,LEMOND Greg,5:08:37,307.7917459698285,0.0211810584958217
42,1986,Saint-Etienne,ITT,p2,LEMOND Greg,1:16:01,328.43899965285595,0.0178448275862068
43,1986,Puy de Dôme,RR,p5,LEMOND Greg,5:38:40,336.8118043705938,0.0222052631578947
44,1986,Nevers,RR,p1,LEMOND Greg,5:12:55,258.33738660105223,0.0066938775510204
45,1986,Paris,RR,p1,LEMOND Greg,6:51:55,240.52832087703976,0.0081582150101419
46,1987,Berlin,RR,p1,NIJDAM Jelle,0:07:06,663.2896955415272,0.0118032786885245
47,1987,Berlin,RR,p1,PIASECKI Lech,2:11:33,499.2504541699037,0.0068530805687203
48,1987,Stuttgart,RR,p2,MÄCHLER Erich,5:27:37,,
49,1987,Pforzheim,RR,p2,MÄCHLER Erich,1:50:51,257.5468326923848,0.0128734177215189
